timestamp,marker
802442.7980073249,Paradigm_Start_Dual-Task Paradigm_Subject_1
802442.8139074249,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802443.9305792222,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802445.0325741195,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802446.1481887168,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802447.2609974141,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802448.3647006114,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802449.4657945088,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802450.5654726061,DualTask_Target_RedCircle_normal_sound_Subject_1
802450.965848605,Correct_Response_Subject_1
802451.6814215033,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802452.7969090006,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802453.9116618979,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802455.0142444952,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802456.1186971925,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802457.2214816898,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802458.3301972871,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802459.4312970844,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802460.5466112818,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802461.660461879,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802462.7640044763,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802463.8794411736,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802464.9826169709,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802466.0966566682,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802467.2089195654,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802468.3184903627,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802469.4243459601,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802470.5253754575,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802471.6427224547,DualTask_Target_RedCircle_normal_sound_Subject_1
802472.0059902538,Correct_Response_Subject_1
802472.7506031521,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802473.8642307493,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802474.9665664466,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802476.0796397439,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802477.1947815412,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802478.2965773386,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802479.4121987358,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802480.5119626331,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802481.6151248304,DualTask_Target_BlueCircle_target_sound_Subject_1
802482.6662350278,Correct_Response_Subject_1
802482.7158233278,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802483.821655725,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802484.9363503223,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802486.0484835196,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802487.155050517,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802488.2658663142,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802489.3814986115,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802490.4924485087,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802491.5956380061,DualTask_Target_BlueCircle_target_sound_Subject_1
802492.2807886044,Correct_Response_Subject_1
802492.6991840034,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802493.8127726007,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802494.9134107981,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802496.0144137953,DualTask_Target_RedCircle_normal_sound_Subject_1
802496.579068594,Correct_Response_Subject_1
802497.1266818927,DualTask_Target_BlueCircle_target_sound_Subject_1
802497.7760170911,Correct_Response_Subject_1
802498.2361996899,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802499.3462778872,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802500.4487545845,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802501.5577031819,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802502.6607350792,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802503.7622996765,DualTask_Target_RedCircle_normal_sound_Subject_1
802504.1947730755,Correct_Response_Subject_1
802504.8720019738,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802505.986194971,DualTask_Target_RedCircle_normal_sound_Subject_1
802506.3666080701,Correct_Response_Subject_1
802507.0966266684,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802508.2134428656,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802509.3294307629,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802510.4397045602,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802511.5487805576,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802512.6618470548,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802513.775287952,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802514.8857049494,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802515.9942314468,DualTask_Target_BlueCircle_target_sound_Subject_1
802516.4410101457,Correct_Response_Subject_1
802517.098687144,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802518.2095175413,DualTask_Target_BlueCircle_target_sound_Subject_1
802518.7262056401,Correct_Response_Subject_1
802519.3146026387,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802520.4293046359,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802521.5352819333,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802522.6437048306,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802523.7540884279,DualTask_Target_RedCircle_normal_sound_Subject_1
802524.2314874267,Correct_Response_Subject_1
802524.8619270251,DualTask_Target_RedCircle_normal_sound_Subject_1
802525.2764598242,Correct_Response_Subject_1
802525.9770743224,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802527.0787963197,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802528.1781387171,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802529.2906928144,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802530.4003508117,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802531.5132238088,DualTask_Target_BlueCircle_target_sound_Subject_1
802531.9965114077,Correct_Response_Subject_1
802532.6289772062,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802533.7443331035,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802534.8447680009,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802535.9605916981,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802537.0713719954,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802538.1844981927,DualTask_Target_BlueCircle_target_sound_Subject_1
802538.6013373917,Correct_Response_Subject_1
802539.29480079,DualTask_Target_BlueCircle_target_sound_Subject_1
802539.8943177885,Correct_Response_Subject_1
802540.4104215872,DualTask_Target_BlueCircle_target_sound_Subject_1
802540.8152170863,Correct_Response_Subject_1
802541.5107013845,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802542.6267990819,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802543.7306865792,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802544.8445599765,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802545.9544636738,DualTask_Target_RedCircle_normal_sound_Subject_1
802546.4054530726,Correct_Response_Subject_1
802547.066231971,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802548.1770872683,DualTask_Target_RedCircle_normal_sound_Subject_1
802548.6447471672,Correct_Response_Subject_1
802549.2826975657,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802550.384893163,DualTask_Target_RedCircle_normal_sound_Subject_1
802550.7664836621,Correct_Response_Subject_1
802551.4915853604,DualTask_Target_BlueCircle_target_sound_Subject_1
802552.1058175588,Correct_Response_Subject_1
802552.5975559575,DualTask_NonTarget_BlueCircle_normal_sound_Subject_1
802553.7075584548,Paradigm_End_Dual-Task Paradigm_Subject_1
